Date,Name,Year,Letterboxd URI
2025-12-20,Rosemary's Baby,1968,https://boxd.it/29zM
2025-12-20,Life of Pi,2012,https://boxd.it/37pC
2025-12-20,Casino Royale,2006,https://boxd.it/1alk
2025-12-20,Heathers,1989,https://boxd.it/26x4
2025-12-20,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO
2025-12-20,The Cabin in the Woods,2011,https://boxd.it/1zOc
2025-12-20,Freaky Friday,2003,https://boxd.it/1WwK
2025-12-20,Madagascar,2005,https://boxd.it/29dc
2025-12-20,Paprika,2006,https://boxd.it/23wW
2025-12-20,Back to the Future Part II,1989,https://boxd.it/2aYI
2025-12-20,Elf,2003,https://boxd.it/1VyK
2025-12-20,Wreck-It Ralph,2012,https://boxd.it/2TTS
2025-12-20,Crazy Rich Asians,2018,https://boxd.it/gfnK
2025-12-20,Finding Dory,2016,https://boxd.it/4aAA
2025-12-20,Dirty Dancing,1987,https://boxd.it/2baY
2025-12-20,The Emperor's New Groove,2000,https://boxd.it/1Tey
2025-12-20,The Proposal,2009,https://boxd.it/1HiS
2025-12-20,She's the Man,2006,https://boxd.it/1Y7W
2025-12-20,Gravity,2013,https://boxd.it/GZY
2025-12-20,Room,2015,https://boxd.it/7T0y
2025-12-20,Minari,2020,https://boxd.it/mL9M
2025-12-20,Beauty and the Beast,1991,https://boxd.it/1XhG
2025-12-20,Hercules,1997,https://boxd.it/1SDW
2025-12-20,The Twilight Saga: Eclipse,2010,https://boxd.it/1ytW
2025-12-20,Do the Right Thing,1989,https://boxd.it/29gA
2025-12-20,The Babadook,2014,https://boxd.it/77xu
2025-12-20,Amadeus,1984,https://boxd.it/2aH8
2025-12-20,50 First Dates,2004,https://boxd.it/285c
2025-12-20,Before Midnight,2013,https://boxd.it/4ive
2025-12-20,Thelma & Louise,1991,https://boxd.it/28Ew
2025-12-20,The Boy in the Striped Pyjamas,2008,https://boxd.it/1NOK
2025-12-20,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa
2025-12-20,Blue Valentine,2010,https://boxd.it/MxG
2025-12-20,The Mask,1994,https://boxd.it/29rS
2025-12-20,Cast Away,2000,https://boxd.it/20i8
2025-12-20,Scary Movie,2000,https://boxd.it/24CG
2025-12-20,The Twilight Saga: Breaking Dawn – Part 2,2012,https://boxd.it/DdC
2025-12-20,Bram Stoker's Dracula,1992,https://boxd.it/223a
2025-12-20,Napoleon Dynamite,2004,https://boxd.it/20wu
2025-12-20,Breakfast at Tiffany's,1961,https://boxd.it/2aYS
2025-12-20,The Twilight Saga: Breaking Dawn – Part 1,2011,https://boxd.it/DdM
2025-12-20,Moulin Rouge!,2001,https://boxd.it/29wI
2025-12-20,Slumdog Millionaire,2008,https://boxd.it/1S3E
2025-12-20,Moana 2,2024,https://boxd.it/LcjW
2025-12-20,Interview with the Vampire,1994,https://boxd.it/29XO
2025-12-20,Cocaine Bear,2023,https://boxd.it/ugw2
2025-12-20,Jumanji,1995,https://boxd.it/1ZLI
2025-12-20,Back to the Future Part III,1990,https://boxd.it/2aTS
2025-12-20,Tropic Thunder,2008,https://boxd.it/20WM
2025-12-20,The Butterfly Effect,2004,https://boxd.it/27M0
2025-12-20,Hocus Pocus,1993,https://boxd.it/1Wgi
2025-12-20,I Am Legend,2007,https://boxd.it/21DG
2025-12-20,10 Cloverfield Lane,2016,https://boxd.it/aZiu
2025-12-20,28 Weeks Later,2007,https://boxd.it/28Bi
2025-12-20,Hidden Figures,2016,https://boxd.it/dgS4
2025-12-20,Baby Reindeer,2024,https://boxd.it/MwSa
2025-12-20,Maleficent,2014,https://boxd.it/3v1u
